stop_id,stop_name,latitude,longitude
1849432558,Collge El Youssi,37.13898946,6.359105426
1849433210,Arrondissement Salam,37.17312005,6.408377824
1849433213,Arrondissement Salam,37.17315973,6.408686631
1849433331,Bureau Police Anassi,37.17733583,6.397485626
1849433378,Anassi,37.17922721,6.400946452
1849519895,St. Les Assfa,37.15223715,6.381343426
1849822573,Atlanta Sport,37.11911019,6.224335704
1849822677,Riad Oulfa,37.13483805,6.20615301
1849822869,Rond Point Morocco Mall,37.15323463,6.205704823
1849890123,Shell Abdelkrim Elkhattabi,37.17202891,6.254758245
1853230601,Angle Sidi Al Khadir/Boutaleb,37.15474974,6.217698905
1853230690,cole Sidi Abderrahmane,37.15830568,6.205207349
1873948804,Caf Route Andalouss,37.11015793,6.281732416
1932875143,Mosque de Lissasfa - AT,37.11330757,6.234563904
1936060936,Tarik El Khir,37.19780695,6.395055773
1945407440,Carr. Schneider,37.14650003,6.236550441
2126803379,Cit Plateau,37.15117451,6.265610652
2135428292,Prfecture Ain Chock,37.10126835,6.252050075
2135428347,Abattoir,37.13211125,6.345824045
2138248673,Gare Routire 2,37.16026927,6.308724755
2139416372,APAEI,37.16468469,6.269563374
2161256820,Doha,37.17772683,6.375834665
2161260949,Anapec SM,37.16661682,6.351379736
2186506135,Ptisserie La Pense,37.16366928,6.249088604
2186506441,Caf Bouchiki,37.15443834,6.228761626
2186528781,St. Sinfa,37.1540706,6.375117257
2187370052,Hay Idrissia,37.1496054,6.310336459
2187370068,Centre Feminin,37.14469934,6.297566812
2187370276,Clinique Abdelmoumen,37.15330707,6.275157235
2187447291,cole Elanouar,37.10111588,6.241813785
2187447307,Pharmacie Ouaadoudi,37.10479425,6.242986741
2187451040,Dar Lhamra,37.15375612,6.233899357
2207627589,Daouliz,37.18925962,6.243745343
2235605385,Boulevard Bahmad,37.18121049,6.311606995
2235605392,Facults Terminus,37.12605733,6.246672905
2235605394,Ali Yata  ,37.17777161,6.326955706
2235605401,Zenith,37.12060384,6.26008184
2235605408,Bachkou,37.14796496,6.274542064
2235605416,La Rsistance,37.17954113,6.296112475
2235605418,Sidi Abderrahmane,37.1549007,6.234969335
2235605421,Facults,37.126096,6.246679276
2235605426,Gare Oasis,37.1355915,6.27056677
2235605430,Sidi Abderrahmane,37.15488319,6.234935212
2235605431,Anciens Abattoirs,37.17712617,6.318960272
2235605454,Hay Raja,37.16164742,6.347127932
2235605472,Facult de Mdecine,37.15872262,6.275355645
2235605474,Mekka,37.13970943,6.271887218
2235605477,Cit de l'Air,37.15082368,6.239847308
2235605483,Boulevard Bahmad,37.18128319,6.311562937
2235605581,Littoral,37.16480065,6.229812683
