route_id,route_name
6278470,L65 Harbili - Hay El Fadl
6283432,L606 Sidi Hajjaj-Bernoussi
6294756,L32D Facult de Ben M'Sick-Facults de Mohammedia
7431685,L64 Bernoussi - Ouad Dahab
7432339,L65 Hay El Fadl-Harbili
7441933,L 312 Sbata Jamila-Nouaceur
7461025,L32D Facults de Mohammedia-Facult de Ben M'Sick
7469987,L606 Bernoussi - Sidi Hajjaj
7471481,Ligne 86: Sakani - Place Sraghna
6278575,Ligne 2: Place Concorde - Noor City
6288951,L800 Tariq - Facult (Mohammedia)
6294647,Ligne 24: Place Sraghna - Anassi
6294875,Ligne 87: Kodia - Pasteur
7431788,Ligne 24: Anassi - Place Sraghna
7467231,Ligne 87: Pasteur - Kodia
7469682,L800 Facult (Mohammedia) - Tariq
7471480,Ligne 86: Place Sraghna - Sakani
7472663,Ligne 169: Tariq - Salam 2
7472664,Ligne 169: Salam 2 - Tariq
7869341,Ligne 88: Al Yassir - Mansouria
7869563,Ligne 88: Mansouria - Al Yassir
14863133,L902 :Sidi Moumen- Mohammdia Gare ONCF
14863134,L902 :Mohammdia Gare ONCF-Sidi Moumen
14866094,L608 Zi Bernoussi- Tit Mellil
14866095,L608 Tit Mellil-Zi Bernoussi
